Time,Contract,Funding Interval,Funding Rate,Spot Closing Price,Futures Closing Price
2024-04-23 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0070%,66427.3,
2024-04-23 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0035%,66108.6,
2024-04-22 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0052%,66810.1,
2024-04-22 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0069%,65996.3,
2024-04-22 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0078%,65974.2,
2024-04-21 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0093%,64941.3,
2024-04-21 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0046%,65043.0,
2024-04-21 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0029%,65141.8,
2024-04-20 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0008%,64939.3,
2024-04-20 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0135%,64801.8,
2024-04-20 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0084%,63961.7,
2024-04-19 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0069%,63813.8,
2024-04-19 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0035%,64440.5,
2024-04-19 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0102%,64556.9,
2024-04-18 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0018%,63468.3,
2024-04-18 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0001%,63497.0,
2024-04-18 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0124%,61177.3,
2024-04-17 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0021%,61273.8,
2024-04-17 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0036%,60301.8,
2024-04-17 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0003%,63292.8,
2024-04-16 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0009%,63793.2,
2024-04-16 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0049%,61759.1,
2024-04-16 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0070%,63505.6,
2024-04-15 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0014%,63416.7,
2024-04-15 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0022%,64569.4,
2024-04-15 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0083%,66265.8,
2024-04-14 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0012%,65661.1,
2024-04-14 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0114%,64182.0,
2024-04-14 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0123%,64456.1,
2024-04-13 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0093%,63916.5,
2024-04-13 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0206%,67668.1,
2024-04-13 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0253%,67433.2,
2024-04-12 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0202%,67115.6,
2024-04-12 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0227%,69343.3,
2024-04-12 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0201%,70761.3,
2024-04-11 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0312%,70005.6,
2024-04-11 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0144%,70002.3,
2024-04-11 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0222%,70737.2,
2024-04-10 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0384%,70631.8,
2024-04-10 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0291%,68658.0,
2024-04-10 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0486%,69336.9,
2024-04-09 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0314%,69150.1,
2024-04-09 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0301%,69259.7,
2024-04-09 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0251%,70385.5,
2024-04-08 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0226%,71626.4,
2024-04-08 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0168%,71768.8,
2024-04-08 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0282%,70696.0,
2024-04-07 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0072%,69350.0,
2024-04-07 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0133%,69543.1,
2024-04-07 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0026%,69354.5,
